TIMESTMAP,Values2
2020-05-18 02:24:37,12
2020-02-21 08:01:48,277
2020-01-24 04:19:57,196
2020-09-08 03:53:46,151
2020-04-16 15:31:17,279
2020-12-04 23:59:58,277
2020-12-21 02:38:43,262
2020-11-16 13:34:36,12
2020-05-28 23:47:51,20
2020-06-30 16:57:45,25
2020-04-24 04:39:38,131
2020-06-20 21:57:45,107
2020-05-29 22:27:04,253
2020-11-10 14:33:55,12
2020-02-26 15:08:14,292
2020-07-05 18:07:11,23
2020-10-23 10:36:40,23
2020-01-01 15:43:53,190
2020-09-25 07:40:04,113
2020-02-04 09:34:54,13
2020-05-20 03:54:58,20
2020-04-18 13:13:05,17
2020-04-20 07:04:00,113
2020-10-11 04:08:07,27
2020-07-27 15:26:43,192
2020-07-07 02:03:26,21
2020-12-20 23:55:31,281
2020-05-24 14:59:50,10
2020-11-18 12:13:23,135
2020-12-29 00:11:00,18
2020-04-19 21:28:14,180
2020-07-14 05:31:25,21
2020-09-10 00:54:04,29
2020-03-05 23:54:30,26
2020-06-10 02:17:00,242
2020-02-20 12:16:20,138
2020-04-17 23:56:12,162
2020-12-15 08:05:43,10
2020-03-05 10:24:13,110
2020-04-01 04:50:36,28
2020-03-24 14:50:45,249
2020-08-27 04:44:01,149
2020-05-16 07:52:25,26
2020-05-20 05:53:21,24
2020-05-14 00:16:17,15
2020-06-02 08:16:57,234
2020-05-15 12:04:50,25
2020-02-06 08:52:50,238
2020-01-06 22:02:09,293
2020-05-07 15:56:07,144
2020-11-30 08:51:58,190
2020-11-30 12:14:29,13
2020-07-31 20:08:08,15
2020-07-30 16:54:20,13
2020-10-10 23:43:31,188
2020-09-01 20:42:20,179
2020-01-01 22:23:08,232
2020-06-30 03:26:34,174
2020-11-11 04:15:10,26
2020-04-03 03:14:44,281
2020-11-04 11:04:55,244
2020-02-01 02:31:03,23
2020-03-24 10:23:33,15
2020-08-17 20:55:14,197
2020-06-14 01:16:46,224
2020-03-29 13:42:48,12
2020-12-28 13:18:48,25
2020-09-12 23:49:10,19
2020-07-09 22:11:19,17
2020-03-06 02:21:52,140
2020-12-01 14:33:37,14
2020-10-09 22:41:37,125
2020-08-13 17:01:34,153
2020-07-10 03:08:47,126
2020-02-19 05:24:08,19
2020-08-10 03:21:04,112
2020-10-28 02:35:49,28
2020-10-17 17:01:26,118
2020-04-05 07:15:22,19
2020-09-02 20:32:08,23
2020-12-14 14:24:50,183
2020-06-03 10:07:55,145
2020-03-03 17:34:25,16
2020-04-20 10:48:32,285
2020-11-20 11:10:05,24
2020-05-20 15:13:42,259
2020-02-15 21:41:52,244
2020-11-22 05:43:31,138
2020-12-21 04:34:06,10
2020-12-12 17:01:31,168
2020-01-13 00:52:10,226
2020-02-27 11:53:54,11
2020-08-25 21:43:19,23
2020-06-13 04:47:51,240
2020-09-01 20:39:22,216
2020-08-02 17:27:13,106
2020-12-31 03:59:16,13
2020-06-22 21:20:26,12
2020-09-21 15:18:27,18
